mywebsearch.com, 34.117.28.143
partypoker.com, 195.72.135.91
hp.com, 15.73.104.147
zynga.com, 13.224.10.40
walmart.com, 161.165.150.100
hotfile.com, 18.207.9.28
ebay.de, 216.113.179.53
qiyi.com, 111.206.13.63
youdao.com, 103.74.50.106
kugou.com, 49.7.81.5
pconline.com.cn, 219.136.244.85
tianya.cn, 124.225.206.22
jp.msn.com, 13.88.15.24
imageshack.us, 208.94.3.19
odnoklassniki.ru, 5.61.23.11
nifty.com, 222.158.213.148
cnn.com, 151.101.65.67
paipai.com, 106.39.169.133
softonic.com, 35.227.233.104
alipay.com, 110.75.129.5
